Zip.Code,Population,Growth.Rate,Med.HH.Inc,Avg.HH.Inc,Med.Age,Households,HH.Size,Health.Insurance,HS.Diploma,Bachelor.Degree,Grad.Degree,Businesses,Diversity.Index,Dental.Services,Management,Finance,Computer,Engineering,Social.Science,Community.Service,Legal,Education,Arts,Healthcare,Healthcare.Support,Protective.Service,Food.Prep,Maintenance,Personal.Care,Sales,Office.Admin,Farming,Construction,Repair,Production,Transportation
84770 (Saint George),43627.00,0.02,48175.00,61643.00,32.10,15134.00,2.82,42456923.00,6007.00,4327.00,1990.00,2490.00,49.50,4331532.00,807.00,374.00,238.00,154.00,36.00,194.00,128.00,826.00,233.00,854.00,509.00,230.00,1686.00,762.00,665.00,2641.00,2070.00,15.00,1291.00,496.00,834.00,1095.00
84639 (Levan),405.00,0.01,62987.00,73272.00,35.30,132.00,2.97,473410.00,123.00,23.00,5.00,12.00,21.30,47450.00,23.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,1.00,22.00,5.00,10.00,13.00,22.00,8.00,21.00,7.00,9.00,16.00
84781 (Pine Valley),210.00,0.02,54583.00,60140.00,53.80,98.00,2.14,320854.00,41.00,27.00,10.00,11.00,10.00,29539.00,11.00,1.00,2.00,0.00,0.00,1.00,0.00,1.00,0.00,9.00,0.00,0.00,1.00,2.00,10.00,17.00,5.00,0.00,8.00,0.00,10.00,7.00
84783 (Dammeron Valley),788.00,0.04,45309.00,81935.00,55.00,269.00,2.93,1199317.00,189.00,101.00,97.00,14.00,20.80,110483.00,12.00,7.00,4.00,0.00,0.00,4.00,2.00,1.00,3.00,13.00,1.00,3.00,4.00,13.00,8.00,11.00,20.00,0.00,14.00,6.00,8.00,5.00
84741 (Kanab),6022.00,0.00,47136.00,60132.00,46.70,2437.00,2.37,7044741.00,1179.00,763.00,349.00,392.00,20.30,751506.00,322.00,81.00,27.00,55.00,106.00,45.00,3.00,295.00,24.00,203.00,86.00,208.00,148.00,39.00,120.00,237.00,595.00,85.00,107.00,80.00,93.00,155.00
84742 (Kanarraville),361.00,0.00,43884.00,53895.00,46.30,142.00,2.54,408743.00,82.00,38.00,14.00,5.00,21.00,35418.00,14.00,4.00,0.00,0.00,0.00,1.00,0.00,11.00,8.00,8.00,0.00,5.00,7.00,6.00,0.00,12.00,17.00,0.00,16.00,0.00,2.00,2.00
84743 (Kingston),172.00,0.00,37156.00,50031.00,49.40,63.00,2.60,171592.00,34.00,10.00,17.00,0.00,5.70,15797.00,6.00,2.00,0.00,0.00,0.00,3.00,0.00,16.00,0.00,0.00,0.00,3.00,6.00,7.00,0.00,3.00,5.00,1.00,4.00,0.00,2.00,2.00
84744 (Koosharem),369.00,0.00,53021.00,58403.00,36.30,109.00,3.19,346561.00,77.00,14.00,12.00,17.00,23.60,31906.00,19.00,2.00,0.00,1.00,1.00,3.00,1.00,12.00,3.00,8.00,0.00,3.00,4.00,17.00,7.00,13.00,13.00,8.00,9.00,15.00,4.00,21.00
84745 (La Verkin),4325.00,0.01,50429.00,58732.00,31.30,1332.00,3.25,3479021.00,766.00,311.00,99.00,63.00,31.70,346839.00,68.00,43.00,24.00,16.00,16.00,108.00,0.00,58.00,0.00,85.00,6.00,12.00,113.00,76.00,65.00,223.00,245.00,0.00,63.00,42.00,95.00,183.00
84746 (Leeds),1279.00,0.02,55204.00,66226.00,52.20,447.00,2.86,1457297.00,203.00,115.00,103.00,24.00,13.20,148873.00,87.00,8.00,7.00,4.00,5.00,0.00,0.00,21.00,4.00,52.00,4.00,2.00,31.00,0.00,14.00,97.00,20.00,9.00,14.00,19.00,10.00,2.00
